Precision,HR,F1,diversity,CC,Genres
0.08970350685217056,0.010488665086258283,0.018781308404283027,0.06093765686176087,0.1194392108142676,0
0.10768068365379564,0.012637991665416785,0.02262105328092402,0.06515410099387611,0.13156660605710238,1
0.13089469021937244,0.017540509839025328,0.030935513958492217,0.06736271458688886,0.15119751857366043,2
0.15921525715178822,0.02362317739673418,0.041142009044768856,0.0758959943780745,0.17915470245097387,3
0.18328904173831434,0.029299231814215947,0.050522336280880493,0.08734062845095873,0.2174456776613936,4
0.20707623365119093,0.034433386588769,0.05904804951101436,0.09396646922999699,0.2634540862081649,5
0.233807513938826,0.03920412272377494,0.06714892143243288,0.09497038449954824,0.31337880420920733,6
0.25233182220832784,0.04251169206944315,0.0727643797851086,0.09266137937958037,0.36429082711468164,7
0.25986139336147196,0.04439569197456741,0.07583538350810116,0.08784258608573436,0.40802020684037094,8
0.26085144077953437,0.0440236238180072,0.07533332197188819,0.08071478767192049,0.4554684350394407,9
0.25446824032098564,0.042791988487338284,0.07326376659173135,0.06635879931733761,0.5101404441226559,10
0.2372726799020388,0.03835361313254777,0.0660333560466505,0.05290633470535087,0.5526768304221609,11
0.21304257203897756,0.03229817240147202,0.05609248261034837,0.04206404979419737,0.5899064528603181,12
0.18513886717732217,0.025162896961441424,0.044304243071085596,0.035538600542114246,0.6152225961182708,13
0.1594236881871693,0.020238064194935505,0.03591668001615998,0.030519024194357997,0.6287075356047142,14
0.13949247042884522,0.016501038597469566,0.029511107904040643,0.027306495331793995,0.6370831722106921,15
0.12570996821426583,0.014454774944088058,0.025928193607329068,0.02549944784660175,0.6439696239191403,16
0.1130998905737057,0.012576938278892256,0.022636636460063895,0.024595924104005622,0.6525756316694821,17
0.10103694440102111,0.011151110565540865,0.020085456309158766,0.02539905631964662,0.6677801271978117,18